Date,Route,Rating,Notes,URL,Pitches,Location,Avg Stars,Your Stars,Style,Lead Style,Route Type,Your Grade,Length,Route Crag,Route State
2022-11-23,Ferralladura,5.10a,"2 falls, 1 at start after 2 bolt, 1 at crux after 1st anchors. ",https://www.mountainproject.com/route/112555890/ferralladura,2,International > Europe > Spain > Catalonia > Siurana > Valley Crags > Espero Primavera,2.3,-1,TR,Not Led,Sport,Not Assigned,105.0,Espero Primavera,International
2022-11-23,Espero Primavera,5.10a,No Notes,https://www.mountainproject.com/route/106624755/espero-primavera,2,International > Europe > Spain > Catalonia > Siurana > Valley Crags > Espero Primavera,3.0,-1,TR,Not Led,Sport,Not Assigned,115.0,Espero Primavera,International
2022-11-19,Big Bad Wolf,5.9,"Adam linked all pitches, 1 fall at beginning ",https://www.mountainproject.com/route/107339211/big-bad-wolf,3,Nevada > Southern Nevada > Red Rocks > 01-Calico Basin > Riding Hood Wall,3.1,-1,TR,Not Led,Sport,Not Assigned,220.0,Riding Hood Wall,Nevada
2022-11-13,Peking Duck,5.10d,5th bolt then lowered ,https://www.mountainproject.com/route/105897531/peking-duck,1,California > Sierra Eastside > Bishop Area > Owens River Gorge > Central Gorge > Great Wall of China,3.0,-1,TR,Not Led,Sport,Not Assigned,70.0,Great Wall of China,California
2022-11-13,Manchurian Candidate,5.11a/b,Flail and lowered. Haha,https://www.mountainproject.com/route/113637346/manchurian-candidate,1,California > Sierra Eastside > Bishop Area > Owens River Gorge > Central Gorge > Great Wall of China,3.4,-1,TR,Not Led,Sport,Not Assigned,100.0,Great Wall of China,California
2022-11-13,Crowd Pleaser,5.9,No Notes,https://www.mountainproject.com/route/105897024/crowd-pleaser,1,California > Sierra Eastside > Bishop Area > Owens River Gorge > Central Gorge > Warm Up Wall,2.7,-1,Not Specified,Not Led,Sport,Not Assigned,80.0,Warm Up Wall,California
2022-11-13,String of Pearls,5.8,No Notes,https://www.mountainproject.com/route/109027777/string-of-pearls,1,California > Sierra Eastside > Bishop Area > Owens River Gorge > Central Gorge > Warm Up Wall,2.6,-1,Lead,Not Led,Sport,Not Assigned,80.0,Warm Up Wall,California
2022-11-13,Breaking Wind,5.7,No Notes,https://www.mountainproject.com/route/107609133/breaking-wind,1,California > Sierra Eastside > Bishop Area > Owens River Gorge > Central Gorge > Warm Up Wall,2.4,-1,Lead,Not Led,Sport,Not Assigned,75.0,Warm Up Wall,California
2022-10-25,Edge Zeppelin,5.10a,No Notes,https://www.mountainproject.com/route/112528167/edge-zeppelin,1,California > Sierra Eastside > Bishop Area > Owens River Gorge > Lower Gorge > Diamondback Area,2.2,-1,Not Specified,Not Led,Sport,Not Assigned,50.0,Diamondback Area,California
2022-10-25,Finked,5.7,No Notes,https://www.mountainproject.com/route/112528173/finked,1,California > Sierra Eastside > Bishop Area > Owens River Gorge > Lower Gorge > Diamondback Area,2.8,-1,Not Specified,Not Led,Sport,Not Assigned,80.0,Diamondback Area,California
2022-10-25,Chukars Gonna Chuk,5.9,No Notes,https://www.mountainproject.com/route/118141284/chukars-gonna-chuk,1,California > Sierra Eastside > Bishop Area > Owens River Gorge > Lower Gorge > Diamondback Area,1.8,-1,Not Specified,Not Led,Sport,Not Assigned,60.0,Diamondback Area,California
2022-10-25,Chewy the Beaver,5.8+,No Notes,https://www.mountainproject.com/route/112528187/chewy-the-beaver,1,California > Sierra Eastside > Bishop Area > Owens River Gorge > Lower Gorge > Diamondback Area,2.5,-1,Not Specified,Not Led,Sport,Not Assigned,105.0,Diamondback Area,California
